"fortnight","Site","start","end","rnc","temp","niwa.max.temp","evapo.trans","niwa.rain.days","EvapoTrans.1","EvapoTrans.2","EvapoTrans.3","EvapoTrans.4","EvapoTrans.5","EvapoTrans.6","EvapoTrans.7","EvapoTrans.8","EvapoTrans.9","EvapoTrans.10","EvapoTrans.11","EvapoTrans.12","EvapoTrans.13","EvapoTrans.14","EvapoTrans.15","EvapoTrans.16","EvapoTrans.17","EvapoTrans.18","EvapoTrans.19","EvapoTrans.20","EvapoTrans.21","EvapoTrans.22","EvapoTrans.23","EvapoTrans.24","EvapoTrans.25","EvapoTrans.26","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","Temp.12","Temp.13","Temp.14","Temp.15","Temp.16","Temp.17","Temp.18","Temp.19","Temp.20","Temp.21","Temp.22","Temp.23","Temp.24","Temp.25","Temp.26","RainDays.1","RainDays.2","RainDays.3","RainDays.4","RainDays.5","RainDays.6","RainDays.7","RainDays.8","RainDays.9","RainDays.10","RainDays.11","RainDays.12","RainDays.13","RainDays.14","RainDays.15","RainDays.16","RainDays.17","RainDays.18","RainDays.19","RainDays.20","RainDays.21","RainDays.22","RainDays.23","RainDays.24","RainDays.25","RainDays.26","MaxTemp.1","MaxTemp.2","MaxTemp.3","MaxTemp.4","MaxTemp.5","MaxTemp.6","MaxTemp.7","MaxTemp.8","MaxTemp.9","MaxTemp.10","MaxTemp.11","MaxTemp.12","MaxTemp.13","MaxTemp.14","MaxTemp.15","MaxTemp.16","MaxTemp.17","MaxTemp.18","MaxTemp.19","MaxTemp.20","MaxTemp.21","MaxTemp.22","MaxTemp.23","MaxTemp.24","MaxTemp.25","MaxTemp.26","wet","rain.days.mnth","temp.mnth","evapo.trans.mnth","rain.days.qrt.1","rain.days.qrt.2","rain.days.qrt.3","rain.days.qrt.4","temp.qrt.1","temp.qrt.2","temp.qrt.3","temp.qrt.4","max.temp.qrt.1","max.temp.qrt.2","max.temp.qrt.3","max.temp.qrt.4","evapo.trans.qrt.1","evapo.trans.qrt.2","evapo.trans.qrt.3","evapo.trans.qrt.4","Season"
1,"Blue",2017-11-20,2017-12-04,0,14.5468048168359,22.1214285714286,1.17630806625677,5,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,1.32017416633113,1.46760543551888,1.26950710254739,1.14948831794838,1.16569928500264,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,13.7405577847778,14.6857023260727,13.7946738278513,13.8029256948462,13.4214365408404,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,3,1,2,3,5,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,21.8285714285714,22.7571428571429,21.3428571428571,20.55,20.5142857142857,0.314917127071823,10,15.0071428571429,3.725,33,37,32,22,11.9119047619048,6.71190476190476,12.1547619047619,17.3261904761905,15.5107142857143,11.75,16.825,22.2833333333333,2.33214285714286,0.679761904761905,1.35357142857143,4.04404761904762,"spring"
2,"Blue",2017-12-05,2017-12-19,0,16.9255841554703,23.5428571428571,1.35402881167697,3,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,1.32017416633113,1.46760543551888,1.26950710254739,1.14948831794838,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,13.7405577847778,14.6857023260727,13.7946738278513,13.8029256948462,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,3,1,2,3,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,21.8285714285714,22.7571428571429,21.3428571428571,20.55,0.229166666666667,8,19,4.35,27,46,31,23,13.0738095238095,7.29047619047619,10.4130952380952,17.3107142857143,17.0761904761905,11.7821428571429,15.3809523809524,22.2595238095238,2.78690476190476,0.801190476190476,1.0547619047619,3.69166666666667,"summer"
3,"Blue",2017-12-19,2018-01-02,0,15.4212588131725,21.4642857142857,1.13761160991575,2,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,1.32017416633113,1.46760543551888,1.26950710254739,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,13.7405577847778,14.6857023260727,13.7946738278513,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,3,1,2,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,21.8285714285714,22.7571428571429,21.3428571428571,0.37202380952381,5,20.525,4.32142857142857,25,47,29,28,15.0369047619048,7.72261904761905,8.94880952380952,17.0714285714286,18.5571428571429,12.1880952380952,14.1583333333333,21.7261904761905,3.23809523809524,1.05714285714286,0.810714285714286,3.10952380952381,"summer"
4,"Blue",2018-01-16,2018-01-30,0,18.7367843378552,25.3785714285714,1.26291626199106,3,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,1.32017416633113,1.46760543551888,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,13.7405577847778,14.6857023260727,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,3,1,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,21.8285714285714,22.7571428571429,0.294444444444444,5,20.6428571428571,4.13214285714286,22,43,31,32,16.3714285714286,8.69761904761905,7.75119047619048,16.452380952381,19.6904761904762,13.0083333333333,12.872619047619,20.997619047619,3.63809523809524,1.25952380952381,0.654761904761905,2.58690476190476,"summer"
5,"Blue",2018-01-31,2018-02-14,0,16.462069203545,21.5928571428571,0.807793910384583,9,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,1.32017416633113,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,13.7405577847778,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,3,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,21.8285714285714,0.544642857142857,12,20.6642857142857,3.48214285714286,23,38,35,32,17.8214285714286,9.81309523809524,7.08690476190476,15.1619047619048,21.1714285714286,13.9202380952381,12.0654761904762,19.7190476190476,3.86309523809524,1.625,0.563095238095238,2.09642857142857,"summer"
6,"Blue",2018-02-14,2018-02-28,0,16.315063897141,22.9714285714286,1.09841709041691,5,0.807793910384583,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,1.30523324885989,16.462069203545,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,15.4377861476766,9,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,3,21.5928571428571,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,23.5357142857143,0.229166666666667,14,19.55,3.13214285714286,27,36,35,33,18.7321428571429,10.9702380952381,6.7702380952381,13.6821428571429,21.8833333333333,14.7583333333333,11.8369047619048,18.2202380952381,3.84285714285714,1.95952380952381,0.570238095238095,1.71428571428571,"summer"
7,"Blue",2018-02-26,2018-03-12,0,14.9739896171926,21.3142857142857,0.882061222301522,5,1.09841709041691,0.807793910384583,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,0.978477776857423,16.315063897141,16.462069203545,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,15.8418728931149,5,9,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,6,22.9714285714286,21.5928571428571,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,22.6571428571429,0.273809523809524,10,18.65,3.13214285714286,27,33,37,32,19.7309523809524,11.9119047619048,6.71190476190476,12.1547619047619,22.8452380952381,15.5107142857143,11.75,16.825,3.87142857142857,2.33214285714286,0.679761904761905,1.35357142857143,"summer"
8,"Blue",2018-03-12,2018-03-26,0,13.5688513528683,20.3928571428571,0.865151421756399,2,0.882061222301522,1.09841709041691,0.807793910384583,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,0.851120828934835,14.9739896171926,16.315063897141,16.462069203545,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,15.1398180911434,5,5,9,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,7,21.3142857142857,22.9714285714286,21.5928571428571,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,21.5785714285714,0.4,7,16.8821428571429,2.7,27,27,46,31,19.9464285714286,13.0738095238095,7.29047619047619,10.4130952380952,22.7107142857143,17.0761904761905,11.7821428571429,15.3809523809524,3.6452380952381,2.78690476190476,0.801190476190476,1.0547619047619,"autumn"
9,"Blue",2018-03-27,2018-04-10,0,13.0144066679786,20.2714285714286,0.80849707639414,3,0.865151421756399,0.882061222301522,1.09841709041691,0.807793910384583,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,0.866116064081856,13.5688513528683,14.9739896171926,16.315063897141,16.462069203545,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,14.1293442077305,2,5,5,9,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,3,20.3928571428571,21.3142857142857,22.9714285714286,21.5928571428571,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,21.2,0.297619047619048,5,15.7142857142857,2.38571428571429,26,25,47,29,19.025,15.0369047619048,7.72261904761905,8.94880952380952,22.1857142857143,18.5571428571429,12.1880952380952,14.1583333333333,3.32142857142857,3.23809523809524,1.05714285714286,0.810714285714286,"autumn"
10,"Blue",2018-04-10,2018-04-24,0,10.0040328529262,15.3214285714286,0.412183167513639,5,0.80849707639414,0.865151421756399,0.882061222301522,1.09841709041691,0.807793910384583,1.26291626199106,1.13761160991575,1.35402881167697,1.17630806625677,0.865862637890841,0.711744541278501,0.774905659519902,0.390726824417915,0.556449290287462,0.263263217408031,0.332043232425327,0.225547204667719,0.155353213029929,0.0435953697404625,0.143894120641421,0.278383167052014,0.22554587963067,0.256697236395793,0.504536620389103,0.521223418057764,0.63895193185257,13.0144066679786,13.5688513528683,14.9739896171926,16.315063897141,16.462069203545,18.7367843378552,15.4212588131725,16.9255841554703,14.5468048168359,10.8634030301578,11.7531494572342,10.2114797348996,9.54285510610087,7.90230090954583,7.82759246324107,6.33714873995851,6.22493096785633,5.20685485944002,4.43578201525848,6.18082422505441,5.32211009372701,6.90394528753606,7.78623901613011,8.70225152050141,10.9974065135019,13.5675812203856,3,2,5,5,9,3,2,3,5,5,5,2,5,5,11,8,7,7,9,4,2,6,7,3,7,6,20.2714285714286,20.3928571428571,21.3142857142857,22.9714285714286,21.5928571428571,25.3785714285714,21.4642857142857,23.5428571428571,22.1214285714286,17.2,17.3214285714286,16.4928571428571,14.6642857142857,14.6571428571429,12.7285714285714,12.6857142857143,12.2928571428571,11.0214285714286,9.74285714285714,12.2214285714286,12.5357142857143,13.2071428571429,13.6642857142857,15.8642857142857,17.4571428571429,19.5571428571429,0.761904761904762,8,13.8535714285714,1.79285714285714,27,22,43,31,18.3428571428571,16.3714285714286,8.69761904761905,7.75119047619048,21.9869047619048,19.6904761904762,13.0083333333333,12.872619047619,3,3.63809523809524,1.25952380952381,0.654761904761905,"autumn"
